"id","type","value","id_jo","id_country"
886,"none",31,19,239
887,"none",67,20,155
888,"bronze",20,14,87
889,"none",189,1,87
890,"bronze",15,13,87
891,"none",23,25,164
892,"none",75,18,164
893,"none",29,24,106
894,"none",8,18,177
895,"none",8,23,134
896,"none",16,1,107
897,"gold",1,13,107
898,"bronze",26,7,87
899,"gold",37,0,238
900,"silver",33,0,238
901,"bronze",1,0,166
902,"gold",1,19,166
903,"none",4,1,135
904,"gold",1,18,166
905,"none",3,7,109
906,"none",2,8,109
907,"silver",1,20,166
908,"none",3,7,135
909,"none",6,13,18
910,"none",22,3,178
911,"none",18,4,178
912,"none",26,10,178
913,"none",67,24,79
914,"none",89,22,79
915,"none",60,19,79
916,"none",23,29,79
917,"none",63,21,79
918,"none",50,14,79
919,"none",30,10,79
920,"silver",2,5,79
921,"none",30,11,79
922,"silver",6,11,79
923,"none",38,26,79
924,"none",37,9,79
925,"none",71,20,79
926,"none",61,23,79
927,"none",4,1,23
928,"none",9,1,61
929,"none",10,13,61
930,"gold",36,14,238
931,"none",9,12,152
932,"none",7,1,152
933,"none",19,13,107
934,"none",4,0,128
935,"none",4,11,106
936,"none",28,1,73
937,"none",19,1,225
938,"none",23,13,225
939,"none",171,14,46
940,"none",169,13,46
941,"silver",9,1,113
942,"none",99,8,10
943,"silver",2,7,10
944,"bronze",4,14,10
945,"bronze",4,12,10
946,"none",5,0,140
947,"none",3,8,140
948,"none",50,1,130
949,"silver",12,13,113
950,"none",131,18,113
951,"bronze",13,1,87
952,"none",53,25,14
953,"none",33,19,14
954,"gold",4,22,115
955,"bronze",11,0,115
956,"none",32,2,215
957,"bronze",12,14,115
958,"none",157,0,113
959,"none",80,25,80
960,"none",52,5,80
961,"silver",7,8,234
962,"gold",10,7,234
963,"gold",8,14,234
964,"none",60,8,206
965,"none",42,26,234
966,"none",91,7,157
967,"bronze",3,19,234
968,"none",38,13,149
969,"none",2,17,149
970,"none",2,2,149
971,"none",8,3,149
972,"none",12,7,171
973,"silver",9,0,13
974,"bronze",23,8,13
975,"gold",16,7,13
976,"none",6,14,24
977,"none",5,12,24
978,"none",86,14,118
979,"gold",6,12,232
980,"none",159,1,232
981,"none",27,6,115
982,"bronze",3,7,90
983,"none",9,14,231
984,"bronze",1,13,160
985,"none",74,13,215
986,"gold",14,0,57
987,"gold",9,8,57
988,"silver",11,7,57
989,"none",7,18,217
990,"none",122,7,104
991,"none",126,14,104
992,"bronze",15,13,41
993,"gold",1,8,160
994,"none",37,21,227
995,"none",11,7,61
996,"none",16,24,199
997,"none",174,18,234
998,"bronze",11,0,234
999,"silver",6,18,115
1000,"bronze",4,3,115
1001,"none",20,15,115
1002,"none",31,22,227
1003,"silver",2,25,227
1004,"none",41,20,227
1005,"none",2,1,190
1006,"none",76,1,227
1007,"silver",0,20,227
1008,"none",26,23,227
1009,"none",18,25,227
1010,"none",2,14,191
1011,"none",6,12,191
1012,"none",73,14,215
1013,"none",106,20,13
1014,"none",24,15,238
1015,"none",31,16,238
1016,"none",92,19,215
1017,"none",27,16,41
1018,"none",45,18,227
1019,"gold",0,13,227
1020,"none",137,13,232
1021,"none",48,10,181
1022,"silver",6,10,181
1023,"gold",8,11,181
1024,"none",20,7,59
1025,"none",20,14,59
1026,"none",17,12,59
1027,"none",11,1,59
1028,"none",28,14,108
1029,"bronze",6,13,240
1030,"none",47,9,118
1031,"gold",19,13,181
1032,"none",107,8,20
1033,"silver",4,25,35
1034,"none",98,7,118
1035,"none",5,5,86
1036,"none",57,7,122
1037,"none",5,7,18
1038,"none",3,14,18
1039,"none",14,18,166
1040,"none",32,22,166
1041,"none",11,8,169
1042,"none",28,27,115
1043,"none",29,14,160
1044,"gold",0,20,231
1045,"none",10,24,231
1046,"none",22,12,119
1047,"none",18,20,149
1048,"bronze",29,7,181
1049,"none",8,18,212
1050,"none",8,21,235
1051,"none",66,18,79
1052,"none",41,25,106
1053,"none",3,8,222
1054,"none",12,22,160
1055,"none",43,13,226
1056,"bronze",16,8,181
1057,"none",10,24,1
1058,"none",61,8,64
1059,"none",14,24,125
1060,"bronze",0,14,217
1061,"none",12,23,195
1062,"none",19,0,233
1063,"none",2,14,246
1064,"none",16,8,121
1065,"none",12,8,195
1066,"none",12,7,195
1067,"none",11,14,195
1068,"none",13,18,165
1069,"none",3,13,165
1070,"none",11,21,195
1071,"none",9,0,17
1072,"none",10,12,195
1073,"none",12,1,195
1074,"none",4,0,165
1075,"none",8,0,217
1076,"none",10,1,121
1077,"none",4,14,125
1078,"none",10,1,177
1079,"none",12,7,177
1080,"bronze",1,1,177
1081,"none",19,13,177
1082,"none",5,7,125
1083,"none",8,14,121
1084,"none",6,12,121
1085,"none",11,20,195
1086,"none",12,0,195
1087,"none",12,21,217
1088,"none",3,14,233
1089,"none",9,13,233
1090,"none",8,21,165
1091,"none",9,14,17
1092,"none",10,12,17
1093,"none",6,12,217
1094,"none",3,12,165
1095,"none",3,8,17
1096,"none",5,7,165
1097,"none",1,14,165
1098,"none",1,7,211
1099,"bronze",0,7,121
