"id","type","id_jo","id_country"
461,"none",13,15
462,"none",8,15
463,"none",7,15
464,"none",8,240
465,"Gold",7,240
466,"none",1,240
467,"none",13,240
468,"Silver",8,15
469,"Gold",7,15
470,"none",14,15
471,"none",1,15
472,"none",12,15
473,"none",20,121
474,"none",12,69
475,"none",1,69
476,"none",1,233
477,"none",1,233
478,"none",12,69
479,"none",1,69
480,"none",1,69
481,"none",24,121
482,"none",21,121
483,"none",0,121
484,"none",13,109
485,"none",12,69
486,"none",1,69
487,"Gold",7,238
488,"none",14,240
489,"none",12,122
490,"none",1,122
491,"none",13,240
492,"none",13,218
493,"none",13,181
494,"none",14,218
495,"Silver",12,218
496,"none",1,218
497,"none",24,128
498,"Gold",0,
499,"none",7,240
500,"none",21,
501,"none",8,240
502,"none",14,122
503,"none",28,115
504,"none",28,115
505,"none",29,115
506,"none",29,115
507,"none",22,115
508,"none",0,115
509,"none",20,115
510,"none",2,115
511,"none",2,115
512,"none",3,115
513,"Gold",4,115
514,"none",4,115
515,"none",19,115
516,"none",19,115
517,"none",20,115
518,"none",23,115
519,"none",7,115
520,"none",12,115
521,"none",8,115
522,"none",18,115
523,"none",21,115
524,"none",0,115
525,"none",22,115
526,"none",18,115
527,"none",7,115
528,"none",14,115
529,"none",24,53
530,"none",0,75
531,"Bronze",0,75
532,"none",0,75
533,"none",0,75
534,"none",21,3
535,"none",12,69
536,"none",1,108
537,"none",13,108
538,"none",18,40
539,"none",20,31
540,"none",23,31
541,"none",14,209
542,"none",20,31
543,"none",12,238
544,"none",29,
545,"none",6,
546,"none",20,
547,"Silver",20,
548,"none",20,
549,"none",20,
550,"none",20,
551,"none",20,
552,"none",12,41
553,"none",1,41
554,"Bronze",1,41
555,"none",13,41
556,"none",13,41
557,"none",12,87
558,"none",12,87
559,"none",12,87
560,"none",12,87
561,"none",12,87
562,"none",7,209
563,"none",14,209
564,"none",1,57
565,"Gold",0,209
566,"none",12,87
567,"none",13,87
568,"none",22,112
569,"none",22,112
570,"none",22,112
571,"none",22,112
572,"none",22,112
573,"none",13,143
574,"none",6,10
575,"none",6,10
576,"none",6,10
577,"none",21,209
578,"none",8,40
579,"Gold",7,75
580,"none",13,75
581,"none",19,10
582,"none",20,10
583,"none",23,10
584,"none",3,215
585,"none",21,215
586,"none",1,149
587,"none",2,237
588,"none",3,237
589,"none",4,237
590,"none",10,237
591,"none",5,237
592,"Gold",7,238
593,"none",8,3
594,"none",20,113
595,"none",14,227
596,"none",14,227
597,"Silver",12,227
598,"none",12,227
599,"none",7,210
600,"none",7,210
601,"none",13,210
602,"none",13,11
603,"none",0,61
604,"none",8,61
605,"none",12,61
606,"none",12,61
607,"none",12,209
608,"none",1,209
609,"none",13,209
610,"none",18,80
611,"none",21,
612,"none",21,226
613,"none",21,109
614,"none",20,160
615,"none",20,160
616,"none",12,118
617,"none",12,115
618,"none",1,115
619,"none",13,119
620,"none",23,35
621,"Gold",24,35
622,"none",1,80
623,"none",13,80
624,"none",1,160
625,"none",13,160
626,"none",24,23
627,"none",18,23
628,"none",10,80
629,"none",12,181
630,"none",14,15
631,"none",13,31
632,"none",5,232
633,"none",11,232
634,"none",26,232
635,"none",1,181
636,"Bronze",1,181
637,"Silver",1,181
638,"none",1,181
639,"none",1,181
640,"none",1,181
641,"Silver",13,181
642,"none",13,181
643,"Silver",13,181
644,"Bronze",13,181
645,"none",23,155
646,"none",13,40
647,"none",8,88
648,"none",1,160
649,"none",20,
650,"Silver",20,
651,"Bronze",20,
652,"none",20,
653,"none",20,205
654,"none",20,205
655,"none",10,124
656,"none",9,124
657,"none",9,124
658,"none",9,124
659,"none",21,135
660,"none",13,13
661,"Bronze",13,13
662,"none",2,209
663,"none",2,209
664,"none",2,209
665,"none",18,40
666,"none",18,40
667,"none",13,69
668,"none",19,125
669,"none",19,125
670,"none",19,125
671,"none",19,125
672,"none",20,125
673,"none",20,125
674,"none",20,125
675,"none",7,69
676,"none",12,69
677,"none",13,69
678,"none",7,69
679,"none",18,69
680,"none",0,69
681,"none",7,69
682,"none",18,69
683,"none",7,217
684,"none",23,69
685,"none",18,69
686,"none",18,69
687,"none",22,
688,"none",25,69
689,"none",21,109
690,"none",7,149
691,"none",21,159
692,"none",14,177
693,"none",12,177
694,"none",0,109
695,"none",21,128
696,"none",18,3
697,"none",18,109
698,"none",1,3
699,"none",13,69
700,"Silver",1,69
701,"none",1,69
702,"none",13,69
703,"none",13,69
704,"none",0,69
705,"none",19,69
706,"none",14,69
707,"none",3,125
708,"none",3,125
709,"none",14,136
710,"none",1,69
711,"none",20,160
712,"none",8,238
713,"Bronze",21,104
714,"Gold",21,104
715,"Silver",0,104
716,"none",23,234
717,"none",23,234
718,"none",24,234
719,"none",24,234
720,"Bronze",24,234
721,"none",13,45
722,"none",13,216
723,"none",18,106
724,"none",18,106
725,"none",21,106
726,"none",21,106
727,"none",0,106
728,"none",8,106
729,"none",24,174
730,"none",7,215
731,"Silver",14,215
732,"none",12,215
733,"none",19,80
734,"none",12,206
735,"none",18,55
736,"none",18,55
737,"none",23,168
738,"none",23,168
739,"none",2,164
740,"none",6,164
741,"none",17,164
742,"none",18,238
743,"none",20,238
744,"none",23,238
745,"none",28,215
746,"none",22,215
747,"none",22,215
748,"none",22,215
749,"none",25,215
750,"none",25,215
751,"none",28,215
752,"none",20,238
753,"none",11,86
754,"none",11,86
