"id","name","sex","height","wheight","team","id_country"
81720,"Ralf Schulenberg","M","171","70","East Germany",
81721,"Carolyn Jane Schuler","F","167","63","United States",238
81722,"Evelyn Schuler","F",,,"Brazil",31
81723,"Franz Schuler","M","183","66","Austria",14
81724,"Hans-Jrgen Schler","M","182","82","East Germany",
81725,"Karine Schuler","F","172","53","France",80
81726,"Laura Lynne Schuler","F","169","64","Canada",41
81727,"Luca Schuler","M","157","47","Switzerland",216
81728,"Manfred Schler","M",,,"Germany",87
81729,"Norbert Schuler","M","176","67","Germany",87
81730,"Srgio Schuler","M",,,"Brazil",31
81731,"Lary Alan Schulhof","M","178","75","United States",238
81732,"Bernhard Schulkowski","M","195","105","West Germany",
81733,"Johann  Schuller","M","182","77","Austria",14
81734,"Adelheid  Schller (-de Bocourt, -Braun)","F","168","54","West Germany",
81735,"Maria Jos de Almeida Schuller","F","180","68","Portugal",175
81736,"Swen Schuller","M","176","70","Germany",87
81737,"Almuth Schult","F","180","71","Germany",87
81738,"Jrgen Schult","M","193","110","East Germany",
81739,"Benjamin Schulte","M","193","83","Guam",94
81740,"Christian Schulte","M","196","92","Germany",87
81741,"Sebastian Schulte","M","196","90","Germany",87
81742,"Sofia Schulte","F","178","58","Germany",87
81743,"Yannick Schulte","M","189","87","France",80
81744,"Heike Schulte-Mattler (Schmidt-)","F","170","54","West Germany",
81745,"Hans-Dieter Schulten","M","178","72","West Germany",
81746,"Adrian Alexander Konstantin Schultheiss","M","172","64","Sweden",215
81747,"Hermanus Ricardus Johannes  Schulting","M","192","79","Netherlands",155
81748,"Annette Schultz (-Klatt)","F","184","72","East Germany",
81749,"Christina Schultz","F","190","78","Germany",87
81750,"David Leslie  Schultz","M","177","74","United States",238
81751,"Eckhardt Schultz","M","199","93","West Germany",
81752,"Ingo Schultz","M","201","99","Germany",87
81753,"Jessica Schultz","F","163","60","United States",238
81754,"Karl Schultz","M","180","75","West Germany",
81755,"Eva Lotta Ingrid Schultz (Sjberg-)","F","168","60","Sweden",215
81756,"Mark Philip Schultz","M","173","82","United States",238
81757,"Samuel  Schultz","M","185","70","United States",238
81758,"Todd R. Schultz","M","189","95","United States Virgin Islands-1",237
81759,"Uffe Schultz Larsen","M","181","76","Denmark",64
81760,"Brenda Anne Marie Schultz-McCarthy","F","189","77","Netherlands",155
81761,"Daniela Schultze","F","185","72","Germany",87
81762,"Sven Schultze","M","206","112","Germany",87
81763,"Andreas Schulz","M","188","86","East Germany",
81764,"Arnold Schulz","M","193","81","East Germany",
81765,"Ekkehard Schulz","M","175","74","East Germany",
81766,"Emil Schulz","M","178","75","Germany",87
81767,"Gerhard Schulz","M","173","71","Germany",87
81768,"Germn Schulz","M","187","93","Argentina",10
81769,"Hans-Ulrich Schulz","M","183","83","Germany",87
81770,"Heinz Schulz","M","168","57","Germany",87
81771,"Hermann Schulz","M",,,"East Germany",
81772,"Ines Schulz (-Krause)","F","177","64","East Germany",
81773,"Matas Carlos Schulz","M","190","88","Argentina",10
81774,"Michael Schulz","M","194","90","West Germany",
81775,"Wolf-Rdiger Schulz","M","184","88","West Germany",
81776,"Jodie Lauren Schulz-Kenny","F","183","74","Australia",13
81777,"Bernhard  Schulze","M","182","87","Germany",87
81778,"Felix Schulze","M","180",,"Germany",87
81779,"Hans-Peter Schulze","M","176","65","East Germany",
81780,"Iris Schulze (-Niemeier)","F","157","50","West Germany",
81781,"Karl Schulze","M","190","100","Germany",87
81782,"Klaus Schulze","M","194","93","Germany",87
81783,"Marion Schulze","F","169","61","East Germany",
81784,"Patrick Schulze","M","182","82","Germany",87
81785,"Rudolph  Schulze","M","173","75","Canada",41
81786,"Sabina Schulze (-Kessler)","F","180","66","East Germany",
81787,"Christina Else Schulze-Ashcroft","F","170","59","Canada",41
81788,"Bradley Darrell Schumacher","M","193","90","United States",238
81789,"Brian Schumacher","M","191","75","Great Britain",234
81790,"Guido Schumacher","M","176","65","West Germany",
81791,"Gnther Schumacher","M","183","78","West Germany",
81792,"Hans-Otto Schumacher","M","181","80","West Germany-1",
81793,"Jessica Schumacher","F","170","49","Germany",87
81794,"Rita Schumacher","F","177","69","Germany",87
81795,"Sandra Schumacher","F","176","59","West Germany",
81796,"Stefan Schumacher","M","183","69","Germany",87
81797,"Tina Schumacher","F","160","60","Switzerland",216
