"id","type","id_jo","id_event","id_athlete"
228453,"none",5,298,114074
228454,"none",6,246,114074
228455,"none",6,120,114074
228456,"none",6,298,114074
228457,"Bronze",17,120,114074
228458,"none",8,120,114074
228459,"none",17,542,114075
228460,"none",8,543,114075
228461,"none",11,156,114076
228462,"none",21,78,114076
228463,"none",0,343,114077
228464,"Bronze",21,270,114078
228465,"none",19,270,114078
228466,"none",1,270,114078
228467,"none",16,279,114079
228468,"none",21,28,114080
228469,"none",19,28,114080
228470,"none",42,50,114081
228471,"none",14,89,114082
228472,"none",11,56,114083
228473,"none",11,57,114083
228474,"none",0,74,114084
228475,"none",12,380,114085
228476,"none",45,13,114086
228477,"none",21,535,114087
228478,"none",28,74,114088
228479,"none",19,48,114089
228480,"none",24,13,114090
228481,"none",4,13,114090
228482,"none",27,212,114091
228483,"none",27,213,114091
228484,"none",27,214,114091
228485,"none",27,215,114091
228486,"none",27,216,114091
228487,"none",27,217,114091
228488,"none",2,42,114092
228489,"none",20,119,114093
228490,"Silver",19,185,114094
228491,"none",32,401,114095
228492,"none",26,212,114096
228493,"none",26,213,114096
228494,"none",26,214,114096
228495,"none",26,215,114096
228496,"none",26,216,114096
228497,"none",26,217,114096
228498,"none",29,118,114097
228499,"none",29,49,114097
228500,"none",30,125,114098
228501,"none",37,57,114099
228502,"none",26,401,114100
228503,"none",13,279,114101
228504,"none",6,419,114102
228505,"none",28,232,114103
228506,"none",0,232,114103
228507,"none",0,233,114103
228508,"none",1,476,114104
228509,"Gold",11,462,114105
228510,"Gold",21,462,114105
228511,"none",19,462,114105
228512,"none",16,18,114106
228513,"none",17,300,114107
228514,"none",17,418,114107
228515,"none",17,419,114107
228516,"none",8,418,114107
228517,"none",8,419,114107
228518,"none",28,37,114108
228519,"none",0,135,114108
228520,"none",27,293,114109
228521,"none",27,348,114109
228522,"Bronze",27,230,114109
228523,"none",40,3,114110
228524,"Gold",40,525,114110
228525,"Silver",40,704,114110
228526,"none",29,42,114111
228527,"none",27,106,114112
228528,"none",27,184,114112
228529,"none",27,185,114112
228530,"Silver",27,107,114112
228531,"none",27,187,114112
228532,"none",27,53,114112
228533,"none",35,106,114112
228534,"none",35,184,114112
228535,"none",35,107,114112
228536,"none",35,51,114112
228537,"Bronze",35,53,114112
228538,"none",19,35,114113
228539,"none",32,103,114114
228540,"none",33,67,114114
228541,"Gold",0,111,114115
228542,"none",26,350,114116
228543,"Bronze",26,314,114116
228544,"Silver",36,2,114117
228545,"none",25,35,114118
228546,"Bronze",41,50,114119
228547,"none",26,293,114120
228548,"none",26,348,114120
228549,"none",26,230,114120
228550,"Silver",26,170,114120
228551,"none",23,7,114121
228552,"none",39,10,114121
228553,"none",39,9,114121
228554,"none",34,11,114122
228555,"Bronze",14,165,114123
228556,"none",42,38,114124
228557,"none",24,58,114124
228558,"none",24,59,114124
228559,"none",13,353,114125
228560,"none",13,587,114125
228561,"none",27,358,114126
228562,"Gold",36,88,114127
228563,"none",16,299,114128
228564,"none",16,182,114128
228565,"none",19,348,114129
228566,"none",19,349,114129
228567,"none",19,367,114129
228568,"none",19,314,114129
228569,"none",1,348,114129
228570,"none",1,314,114129
228571,"none",20,314,114129
228572,"none",8,13,114130
228573,"none",30,300,114131
228574,"none",22,300,114131
228575,"none",23,9,114132
228576,"none",34,20,114133
228577,"Gold",34,21,114133
228578,"none",34,23,114133
228579,"none",34,24,114133
228580,"none",34,25,114133
228581,"none",34,26,114133
228582,"none",34,27,114133
228583,"none",29,20,114133
228584,"Silver",29,21,114133
228585,"none",29,22,114133
228586,"none",29,23,114133
228587,"none",29,24,114133
228588,"none",29,25,114133
228589,"none",29,26,114133
228590,"none",29,27,114133
228591,"none",25,112,114134
228592,"none",26,161,114135
228593,"Gold",12,111,114136
228594,"none",28,67,114137
228595,"none",42,30,114138
228596,"none",42,33,114138
228597,"none",10,32,114138
228598,"none",10,33,114138
228599,"Bronze",24,30,114138
228600,"none",24,32,114138
228601,"none",24,33,114138
228602,"none",4,30,114138
228603,"none",34,687,114139
228604,"none",10,387,114140
228605,"none",14,74,114141
228606,"none",34,119,114142
228607,"none",22,62,114143
228608,"none",22,10,114143
228609,"none",22,9,114143
228610,"none",23,62,114143
228611,"none",23,10,114143
228612,"none",23,9,114143
228613,"none",43,472,114143
228614,"none",39,242,114144
228615,"none",36,141,114145
228616,"none",2,2,114146
228617,"none",29,278,114147
228618,"none",34,428,114148
228619,"none",24,418,114149
228620,"none",21,126,114150
228621,"Gold",19,397,114150
228622,"none",1,397,114150
228623,"none",34,42,114151
228624,"none",24,246,114152
228625,"none",24,120,114152
228626,"none",4,120,114152
228627,"none",28,162,114153
228628,"none",25,312,114154
228629,"none",28,312,114154
228630,"none",35,223,114155
228631,"none",41,300,114156
228632,"Silver",41,418,114156
228633,"none",42,300,114156
228634,"none",42,418,114156
228635,"none",27,156,114156
228636,"none",35,462,114156
228637,"none",19,239,114157
228638,"none",13,74,114158
228639,"Bronze",13,75,114158
228640,"none",32,100,114159
228641,"none",9,118,114160
228642,"Bronze",9,142,114160
228643,"Silver",25,487,114161
228644,"none",36,253,114162
228645,"none",35,95,114163
228646,"none",36,462,114163
228647,"none",1,212,114164
228648,"none",1,214,114164
228649,"none",1,215,114164
228650,"none",1,216,114164
228651,"none",1,217,114164
228652,"none",20,212,114164
228653,"none",20,214,114164
228654,"Bronze",20,215,114164
228655,"none",20,216,114164
228656,"none",20,217,114164
228657,"none",34,100,114165
228658,"none",32,236,114166
228659,"none",26,97,114167
228660,"none",20,368,114168
228661,"Silver",28,77,114169
228662,"none",0,77,114169
228663,"none",12,77,114169
228664,"none",11,77,114169
228665,"none",21,77,114169
228666,"Silver",29,390,114170
228667,"none",34,279,114171
228668,"none",5,224,114172
228669,"none",5,225,114172
228670,"Gold",5,226,114172
228671,"none",6,225,114172
228672,"none",33,55,114173
228673,"none",33,56,114173
228674,"none",33,57,114173
228675,"none",37,56,114173
228676,"none",37,57,114173
228677,"none",26,56,114173
