"id","id_country","nb_athlete","id_jo"
482,178,5,28
483,0,21,20
484,100,7,20
485,0,5,28
486,39,9,20
487,247,11,20
488,133,16,20
489,62,6,28
490,172,2,28
491,13,4,28
492,159,4,20
493,146,4,28
494,68,2,20
495,217,5,20
496,157,2,28
497,209,3,28
498,170,3,20
499,210,4,20
500,62,37,20
501,79,50,28
502,127,5,20
503,125,1,28
504,154,2,20
505,2,5,20
506,10,2,28
507,74,2,20
508,84,1,20
509,126,1,20
510,35,4,28
511,22,1,20
512,78,2,20
513,80,206,23
514,209,113,23
515,158,15,23
516,121,15,23
517,41,385,23
518,69,26,23
519,226,15,23
520,108,84,23
521,115,58,29
522,115,213,23
523,31,79,23
524,10,69,23
525,35,158,23
526,155,108,23
527,234,242,23
528,168,8,23
529,238,396,23
530,57,156,23
531,170,4,23
532,175,19,23
533,157,80,23
534,174,207,23
535,225,13,23
536,13,180,23
537,238,106,29
538,215,39,29
539,216,50,23
540,180,157,23
541,234,42,29
542,90,36,23
543,143,97,23
544,134,23,23
545,79,47,29
546,79,83,23
547,227,27,23
548,195,14,23
549,21,101,23
550,113,210,23
551,215,116,23
552,220,28,29
553,239,9,23
554,220,88,23
555,51,35,23
556,105,13,23
557,106,26,23
558,166,24,23
559,41,59,29
560,114,20,23
561,172,14,23
562,55,5,23
563,176,80,23
564,113,58,29
565,104,178,23
566,67,10,23
567,164,66,23
568,62,38,23
569,178,50,23
570,64,66,23
571,164,41,29
572,95,28,23
573,237,21,23
574,180,32,29
575,5,5,29
576,157,5,29
577,80,35,29
578,242,32,23
579,219,42,23
580,35,29,29
581,14,60,23
582,61,8,23
583,227,9,29
584,196,21,23
585,174,56,29
586,14,77,29
587,216,59,29
588,149,9,23
589,146,32,23
590,112,26,23
591,145,8,23
592,192,2,29
593,155,7,29
594,129,9,29
595,24,16,23
596,21,4,29
597,131,8,23
598,213,3,23
599,129,6,23
600,13,8,29
601,110,44,23
602,16,11,23
603,45,5,29
604,171,13,23
605,192,10,23
606,47,25,23
607,100,13,23
608,0,6,29
609,9,10,23
610,19,11,23
611,169,6,23
612,10,8,29
613,68,5,23
614,5,3,23
615,45,7,23
616,125,3,23
617,27,4,23
618,209,4,29
619,103,3,23
620,26,4,23
621,107,7,23
622,105,8,29
623,108,4,29
624,90,4,29
625,42,2,23
626,40,4,23
627,178,3,29
628,154,1,23
629,78,2,23
630,22,4,23
631,125,1,29
632,104,3,29
633,79,52,6
634,209,155,24
635,113,159,24
636,121,56,24
637,3,54,24
638,109,43,24
639,217,67,24
640,128,29,24
641,53,23,24
642,10,13,6
643,35,271,24
644,23,16,24
645,234,219,24
646,174,306,24
647,164,63,6
648,57,208,24
649,175,11,24
650,242,37,24
651,225,9,24
652,215,145,24
653,155,75,24
654,160,44,24
655,238,101,6
656,31,106,24
657,215,61,6
658,146,43,24
659,216,73,24
660,198,11,24
661,80,121,24
662,137,8,24
663,97,9,24
664,55,29,24
665,40,25,24
666,106,72,24
667,79,105,24
668,115,50,6
669,199,14,24
670,231,13,24
671,1,11,24
672,125,15,24
673,21,59,24
674,114,18,24
675,220,164,24
676,75,41,24
677,90,41,24
678,180,228,24
679,150,14,24
680,51,23,24
681,158,5,24
682,13,120,24
683,235,41,24
684,104,263,24
685,13,9,6
686,143,45,24
687,216,44,6
688,41,59,6
689,132,11,24
690,35,8,6
691,180,35,6
692,99,8,24
693,157,5,6
694,59,14,24
695,68,12,24
696,59,3,6
697,90,3,6
698,26,3,6
699,80,22,6
700,113,46,6
701,14,83,24
702,171,28,24
703,196,32,24
704,247,37,24
705,64,58,24
706,46,24,6
707,234,48,6
708,154,10,24
709,220,15,6
710,14,43,6
711,155,29,6
712,174,30,6
713,110,47,24
714,105,9,24
715,123,19,24
716,131,3,24
717,6,11,24
718,248,42,24
719,192,16,24
720,67,6,24
721,62,47,24
722,29,7,24
723,243,30,24
724,95,10,24
725,210,4,24
726,136,7,24
727,146,3,6
728,157,4,24
729,209,8,6
730,5,3,6
731,129,7,6
732,5,2,24
733,125,3,6
734,126,5,24
735,178,10,6
736,117,4,24
737,105,6,6
738,55,1,6
739,21,2,6
740,176,3,24
741,104,2,6
742,151,2,24
743,164,58,17
744,155,136,18
745,209,179,18
746,45,52,18
747,113,268,18
748,134,21,18
749,117,13,18
750,69,114,18
751,41,408,18
752,195,37,18
753,17,10,18
754,233,7,18
755,115,226,18
756,40,46,18
757,80,238,18
758,23,3,18
759,3,33,18
760,109,23,18
761,106,48,18
762,55,28,18
763,238,522,18
764,31,147,18
765,121,23,18
766,143,99,18
767,216,129,18
768,231,26,18
769,68,11,18
770,157,130,18
771,119,61,18
772,174,30,17
773,67,19,18
774,234,337,18
775,13,242,18
776,114,45,18
777,88,21,18
778,160,32,18
779,205,7,18
780,61,15,18
781,215,60,17
782,215,174,18
783,145,8,18
784,107,16,18
785,105,30,18
786,149,34,18
787,180,124,18
788,137,7,18
789,131,5,18
790,176,51,18
791,59,10,18
792,10,81,18
793,168,8,18
794,238,107,17
795,164,103,18
796,177,24,18
797,166,31,18
798,149,4,17
799,217,9,18
800,227,46,18
801,212,7,18
802,79,86,18
803,165,16,18
804,90,63,18
805,159,4,18
806,13,10,17
807,95,24,18
808,226,23,18
809,171,35,18
810,219,35,18
811,43,3,18
812,216,42,17
813,242,26,18
814,112,32,18
815,235,18,18
816,178,175,18
817,220,139,18
818,64,60,18
819,41,67,17
820,141,4,18
821,10,18,17
822,113,74,17
823,175,38,18
824,21,63,18
825,180,19,17
826,51,39,18
827,225,16,18
828,59,5,17
829,90,6,17
830,105,5,17
831,125,22,18
832,26,11,18
833,78,14,18
834,172,19,18
835,204,3,18
836,35,16,17
837,80,32,17
838,14,102,18
839,191,8,18
840,103,10,18
841,125,4,17
842,133,15,18
843,46,215,18
844,196,24,18
845,178,15,17
846,220,72,17
847,63,8,18
848,29,7,18
849,46,37,17
850,234,50,17
851,33,9,18
852,99,10,18
853,92,6,18
854,19,16,18
855,26,3,17
856,27,8,18
857,53,9,18
858,199,7,18
859,9,14,18
860,170,14,18
861,237,29,18
862,132,5,18
863,227,7,17
864,42,8,18
865,222,6,18
866,210,4,18
867,192,3,17
868,192,19,18
869,198,9,18
870,155,13,17
871,71,4,18
872,169,7,18
873,129,7,18
874,24,12,18
875,182,3,18
876,70,10,18
877,55,3,17
878,110,42,18
879,85,10,18
880,158,5,18
881,0,38,18
882,0,12,17
883,65,3,18
884,22,11,18
885,47,47,18
886,25,6,18
887,115,39,17
888,247,16,18
889,248,15,18
890,150,9,18
891,14,65,17
892,16,22,18
893,21,4,17
894,213,5,18
895,127,7,18
896,18,1,18
897,97,1,18
898,140,2,18
899,136,4,18
900,44,3,18
901,74,8,18
902,146,4,17
903,239,18,18
904,69,1,17
905,104,9,17
906,100,3,18
907,209,12,17
908,45,4,17
909,33,1,17
910,129,10,17
911,5,2,18
912,157,6,17
913,196,1,17
914,154,10,18
915,224,7,18
916,62,6,17
917,79,45,17
918,145,1,17
919,151,1,18
920,5,2,17
921,84,4,18
922,126,4,18
923,176,1,17
924,143,1,17
925,155,11,2
926,155,147,21
927,35,172,21
928,113,253,21
929,125,21,21
930,69,49,21
931,3,42,21
932,65,6,21
933,135,7,21
934,233,12,21
935,160,69,21
936,121,25,21
937,115,48,2
938,115,255,21
939,209,229,21
940,215,185,21
941,237,6,2
942,226,41,21
943,109,27,21
944,209,12,2
945,159,6,21
946,128,6,21
947,104,188,21
948,106,46,21
949,164,63,2
950,99,8,21
951,175,65,21
952,80,266,21
953,238,527,21
954,119,74,21
955,117,7,21
