"id","noc","year","value"
279,"AGO",1995,"5561222222.22222"
280,"AGO",1996,"7526963963.96396"
281,"AGO",1997,"7649716157.20524"
282,"AGO",1998,"6506619144.60285"
283,"AGO",1999,"6152936539.21955"
284,"AGO",2000,"9129634978.33773"
285,"AGO",2001,"8936063723.20121"
286,"AGO",2002,"15285594828.418"
287,"AGO",2003,"17812705294.325"
288,"AGO",2004,"23552052407.5488"
289,"AGO",2005,"36970918699.2523"
290,"AGO",2006,"52381006892.038"
291,"AGO",2007,"65266452081.386"
292,"AGO",2008,"88538611205.1433"
293,"AGO",2009,"70307163678.238"
294,"AGO",2010,"83799496611.2004"
295,"AGO",2011,"111789686464.441"
296,"AGO",2012,"128052853643.106"
297,"AGO",2013,"136709862831.194"
298,"AGO",2014,"145712200312.505"
299,"AGO",2015,"116193649124.151"
300,"AGO",2016,"101123851090.455"
301,"AGO",2017,"122123822333.59"
302,"AGO",2018,"101353230784.594"
303,"AGO",2019,"89417190341.2533"
304,"AGO",2020,"62306913444.2917"
305,"ALB",1960,
306,"ALB",1961,
307,"ALB",1962,
308,"ALB",1963,
309,"ALB",1964,
310,"ALB",1965,
311,"ALB",1966,
312,"ALB",1967,
313,"ALB",1968,
314,"ALB",1969,
315,"ALB",1970,
316,"ALB",1971,
317,"ALB",1972,
318,"ALB",1973,
319,"ALB",1974,
320,"ALB",1975,
321,"ALB",1976,
322,"ALB",1977,
323,"ALB",1978,
324,"ALB",1979,
325,"ALB",1980,
326,"ALB",1981,
327,"ALB",1982,
328,"ALB",1983,
329,"ALB",1984,"1857338011.85488"
330,"ALB",1985,"1897050133.42015"
331,"ALB",1986,"2097326250"
332,"ALB",1987,"2080796250"
333,"ALB",1988,"2051236250"
334,"ALB",1989,"2253090000"
335,"ALB",1990,"2028553750"
336,"ALB",1991,"1099559027.77778"
337,"ALB",1992,"652174990.837304"
338,"ALB",1993,"1185315468.46295"
339,"ALB",1994,"1880951520.3972"
340,"ALB",1995,"2392764853.42107"
341,"ALB",1996,"3199642579.96974"
342,"ALB",1997,"2258515610.08862"
343,"ALB",1998,"2545967253.2416"
344,"ALB",1999,"3212119044.17089"
345,"ALB",2000,"3480355188.60063"
346,"ALB",2001,"3922099470.97313"
347,"ALB",2002,"4348070165.19261"
348,"ALB",2003,"5611492282.86582"
349,"ALB",2004,"7184681398.5698"
350,"ALB",2005,"8052075642.10781"
351,"ALB",2006,"8896073938.31407"
352,"ALB",2007,"10677321490.3807"
353,"ALB",2008,"12881354103.8398"
354,"ALB",2009,"12044223352.5413"
355,"ALB",2010,"11926928505.5231"
356,"ALB",2011,"12890765324.2256"
357,"ALB",2012,"12319830252.4768"
358,"ALB",2013,"12776217194.7928"
359,"ALB",2014,"13228144008.3428"
360,"ALB",2015,"11386846319.1589"
361,"ALB",2016,"11861200797.4706"
362,"ALB",2017,"13019693450.8816"
363,"ALB",2018,"15147020535.3869"
364,"ALB",2019,"15286612572.6895"
365,"ALB",2020,"14799615097.1008"
366,"AND",1960,
367,"AND",1961,
368,"AND",1962,
369,"AND",1963,
370,"AND",1964,
371,"AND",1965,
372,"AND",1966,
373,"AND",1967,
374,"AND",1968,
375,"AND",1969,
376,"AND",1970,"78619206.0850963"
377,"AND",1971,"89409820.3592814"
378,"AND",1972,"113408231.944085"
379,"AND",1973,"150820102.798401"
380,"AND",1974,"186558696.279204"
381,"AND",1975,"220127246.376812"
382,"AND",1976,"227281024.620741"
383,"AND",1977,"254020153.340635"
384,"AND",1978,"308008897.569444"
385,"AND",1979,"411578334.159643"
386,"AND",1980,"446416105.825017"
387,"AND",1981,"388958731.302938"
388,"AND",1982,"375895956.383462"
389,"AND",1983,"327861832.946636"
390,"AND",1984,"330070689.298282"
391,"AND",1985,"346737964.774951"
392,"AND",1986,"482000594.03588"
393,"AND",1987,"611316399.407088"
394,"AND",1988,"721425939.15155"
395,"AND",1989,"795449332.396346"
396,"AND",1990,"1029048481.88051"
397,"AND",1991,"1106928582.86629"
398,"AND",1992,"1210013651.87713"
399,"AND",1993,"1007025755.00065"
400,"AND",1994,"1017549124.33238"
401,"AND",1995,"1178738991.19295"
402,"AND",1996,"1223945356.62682"
403,"AND",1997,"1180597272.72727"
404,"AND",1998,"1211932397.81713"
405,"AND",1999,"1239876305.13531"
406,"AND",2000,"1429049198.45218"
407,"AND",2001,"1546926174.49664"
408,"AND",2002,"1755910031.99699"
409,"AND",2003,"2361726862.30248"
410,"AND",2004,"2894921777.99851"
411,"AND",2005,"3159905484.39249"
412,"AND",2006,"3456442102.622"
413,"AND",2007,"3952600602.24473"
414,"AND",2008,"4085630584.44412"
415,"AND",2009,"3674409558.21061"
416,"AND",2010,"3449966856.68832"
417,"AND",2011,"3629203786.19154"
418,"AND",2012,"3188808942.56713"
419,"AND",2013,"3193704343.20627"
420,"AND",2014,"3271808157.30038"
421,"AND",2015,"2789870187.50693"
422,"AND",2016,"2896679211.86628"
423,"AND",2017,"3000180750.11297"
424,"AND",2018,"3218316013.22626"
425,"AND",2019,"3155065487.51819"
426,"AND",2020,
427,"ARB",1960,
428,"ARB",1961,
429,"ARB",1962,
430,"ARB",1963,
431,"ARB",1964,
432,"ARB",1965,
433,"ARB",1966,
434,"ARB",1967,
435,"ARB",1968,"35414383869.7734"
436,"ARB",1969,"38885217056.3253"
437,"ARB",1970,"43787656107.9266"
438,"ARB",1971,"50670121241.7751"
439,"ARB",1972,"60438068655.7629"
440,"ARB",1973,"76481119525.1305"
441,"ARB",1974,"144591426244.587"
442,"ARB",1975,"160172986710"
443,"ARB",1976,"198993154181.74"
444,"ARB",1977,"229146769771.679"
445,"ARB",1978,"251632435246.668"
446,"ARB",1979,"340540511157.633"
447,"ARB",1980,"460788305454.424"
448,"ARB",1981,"475354082441.339"
449,"ARB",1982,"446303867545.649"
450,"ARB",1983,"419648589604.026"
451,"ARB",1984,"425664869894.731"
452,"ARB",1985,"421336933130.115"
453,"ARB",1986,"402271761630.727"
454,"ARB",1987,"428929959913.833"
455,"ARB",1988,"421921035099.97"
456,"ARB",1989,"442427853636.313"
457,"ARB",1990,"612510585129.375"
458,"ARB",1991,"424942558315.95"
459,"ARB",1992,"454937745274.111"
460,"ARB",1993,"460570426782.019"
461,"ARB",1994,"473718020193.896"
462,"ARB",1995,"517585694076.315"
463,"ARB",1996,"567523288775.497"
464,"ARB",1997,"611572509024.024"
465,"ARB",1998,"590398481811.839"
466,"ARB",1999,"656994445995.672"
467,"ARB",2000,"756206410883.047"
468,"ARB",2001,"731690721592.834"
469,"ARB",2002,"732197408473.793"
470,"ARB",2003,"811817119855.915"
471,"ARB",2004,"965110763304.801"
472,"ARB",2005,"1186138212643.35"
473,"ARB",2006,"1405914768589.17"
474,"ARB",2007,"1639464200014.75"
475,"ARB",2008,"2081037477797.28"
476,"ARB",2009,"1795731689310.09"
477,"ARB",2010,"2111125616635.67"
478,"ARB",2011,"2494923345274.91"
479,"ARB",2012,"2769083177301.96"
480,"ARB",2013,"2849688199794.27"
481,"ARB",2014,"2884648185179.87"
482,"ARB",2015,"2513208408401.34"
483,"ARB",2016,"2461967082628.85"
484,"ARB",2017,"2511064813464.14"
485,"ARB",2018,"2758001019806.72"
486,"ARB",2019,"2811182227470.86"
487,"ARB",2020,"2530185792347.04"
488,"ARE",1960,
489,"ARE",1961,
490,"ARE",1962,
491,"ARE",1963,
492,"ARE",1964,
