"id","name","id_sport"
277,"Athletics Women's High Jump",6
278,"Canoeing Women's Kayak Fours, 500 metres",30
279,"Ice Hockey Women's Ice Hockey",7
280,"Sailing Men's One Person Dinghy",10
281,"Trampolining Women's Individual",45
282,"Curling Men's Curling",49
283,"Judo Men's Middleweight",1
284,"Biathlon Women's 15 kilometres",11
285,"Biathlon Women's 3 x 7.5 kilometres Relay",11
286,"Biathlon Women's 4 x 7.5 kilometres Relay",11
287,"Judo Men's Half-Lightweight",1
288,"Fencing Women's Foil, Team",23
289,"Swimming Women's 200 metres Butterfly",8
290,"Swimming Women's 400 metres Individual Medley",8
291,"Athletics Men's 20 kilometres Walk",6
292,"Judo Men's Half-Heavyweight",1
293,"Archery Women's Team",36
294,"Athletics Men's 50 kilometres Walk",6
295,"Rowing Women's Double Sculls",21
296,"Boxing Men's Light-Heavyweight",26
297,"Boxing Women's Flyweight",26
298,"Athletics Women's 100 metres Hurdles",6
299,"Curling Women's Curling",49
300,"Sailing Mixed One Person Dinghy",10
301,"Wrestling Women's Heavyweight, Freestyle",17
302,"Badminton Mixed Doubles",9
303,"Sailing Mixed Two Person Keelboat",10
304,"Table Tennis Men's Doubles",39
305,"Wrestling Men's Light-Flyweight, Freestyle",17
306,"Wrestling Women's Featherweight, Freestyle",17
307,"Swimming Women's 200 metres Freestyle",8
308,"Swimming Women's 400 metres Freestyle",8
309,"Swimming Women's 200 metres Individual Medley",8
310,"Sailing Men's Windsurfer",10
311,"Freestyle Skiing Men's Slopestyle",43
312,"Rugby Sevens Men's Rugby Sevens",44
313,"Wrestling Women's Lightweight, Freestyle",17
314,"Modern Pentathlon Women's Individual",32
315,"Canoeing Men's Canadian Doubles, Slalom",30
316,"Judo Women's Half-Lightweight",1
317,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",25
318,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",25
319,"Swimming Women's 800 metres Freestyle",8
320,"Sailing Women's Two Person Dinghy",10
321,"Alpine Skiing Women's Downhill",14
322,"Athletics Women's Discus Throw",6
323,"Freestyle Skiing Women's Halfpipe",43
324,"Athletics Women's Heptathlon",6
325,"Cycling Men's Points Race",28
326,"Synchronized Swimming Women's Solo",38
327,"Equestrianism Mixed Dressage, Individual",24
328,"Equestrianism Mixed Dressage, Team",24
329,"Swimming Men's 100 metres Breaststroke",8
330,"Figure Skating Mixed Ice Dancing",33
331,"Shooting Mixed Free Pistol, 50 metres",25
332,"Fencing Women's Foil, Individual",23
333,"Sailing Women's Skiff",10
334,"Triathlon Men's Olympic Distance",47
335,"Sailing Women's One Person Dinghy",10
336,"Cross Country Skiing Women's 30 kilometres",5
337,"Cross Country Skiing Women's 15 km Skiathlon",5
338,"Beach Volleyball Women's Beach Volleyball",46
339,"Weightlifting Men's Super-Heavyweight",16
340,"Rowing Men's Lightweight Coxless Fours",21
341,"Wrestling Men's Light-Flyweight, Greco-Roman",17
342,"Golf Men's Individual",34
343,"Canoeing Men's Canadian Singles, 1,000 metres",30
344,"Sailing Mixed 5.5 metres",10
345,"Equestrianism Mixed Jumping, Team",24
346,"Diving Men's Synchronized Platform",29
347,"Snowboarding Men's Halfpipe",50
348,"Canoeing Women's Kayak Singles, Slalom",30
349,"Weightlifting Women's Flyweight",16
350,"Swimming Women's 100 metres Breaststroke",8
351,"Swimming Women's 200 metres Breaststroke",8
352,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",25
353,"Swimming Women's 100 metres Butterfly",8
354,"Weightlifting Men's Heavyweight I",16
355,"Athletics Women's 3,000 metres Steeplechase",6
356,"Ski Jumping Men's Normal Hill, Individual",48
357,"Ski Jumping Men's Large Hill, Individual",48
358,"Ski Jumping Men's Large Hill, Team",48
359,"Shooting Women's Trap",25
360,"Badminton Men's Doubles",9
361,"Swimming Women's 4 x 200 metres Freestyle Relay",8
362,"Rowing Men's Single Sculls",21
363,"Athletics Women's 20 kilometres Walk",6
364,"Athletics Women's 80 metres Hurdles",6
365,"Sailing Men's One Person Heavyweight Dinghy",10
366,"Freestyle Skiing Women's Aerials",43
367,"Cycling Men's Madison",28
368,"Weightlifting Men's Heavyweight II",16
369,"Canoeing Women's Kayak Doubles, 500 metres",30
370,"Short Track Speed Skating Men's 5,000 metres Relay",52
371,"Cycling Men's Individual Time Trial",28
372,"Judo Women's Heavyweight",1
373,"Canoeing Men's Kayak Doubles, 1,000 metres",30
374,"Wrestling Men's Super-Heavyweight, Freestyle",17
375,"Biathlon Women's 10 kilometres Pursuit",11
376,"Biathlon Women's 12.5 kilometres Mass Start",11
377,"Biathlon Women's 4 x 6 kilometres Relay",11
378,"Fencing Women's Sabre, Team",23
379,"Swimming Women's 100 metres Freestyle",8
380,"Shooting Men's Double Trap",25
381,"Weightlifting Men's Bantamweight",16
382,"Taekwondo Men's Heavyweight",27
383,"Sailing Mixed Windsurfer",10
384,"Taekwondo Women's Welterweight",27
385,"Shooting Mixed Free Rifle, Three Positions, 300 metres",25
